osmid,y,x,street_count,ref,highway,geometry
20954235,43.687335,-79.3742675,1,,,POINT (-79.3742675 43.687335)
20954241,43.6880794,-79.3728002,1,,turning_circle,POINT (-79.3728002 43.6880794)
20954242,43.6862322,-79.3837172,1,,turning_circle,POINT (-79.3837172 43.6862322)
20954243,43.6857899,-79.3835379,3,,,POINT (-79.3835379 43.6857899)
20954247,43.686322,-79.3810243,3,,,POINT (-79.3810243 43.686322)
20954251,43.6869541,-79.3812804,4,,stop,POINT (-79.3812804 43.6869541)
20954253,43.6866894,-79.3826039,1,,,POINT (-79.3826039 43.6866894)
20954256,43.6878325,-79.3816419,4,,stop,POINT (-79.3816419 43.6878325)
20954257,43.6886637,-79.3819723,3,,stop,POINT (-79.3819723 43.6886637)
20954258,43.688344,-79.3835399,4,,traffic_signals,POINT (-79.3835399 43.688344)
20954264,43.6894802,-79.3830195,3,,,POINT (-79.3830195 43.6894802)
20954267,43.6903751,-79.3833052,4,,traffic_signals,POINT (-79.3833052 43.6903751)
20954268,43.6913112,-79.3836921,4,,,POINT (-79.3836921 43.6913112)
20954270,43.6935684,-79.3846114,4,,traffic_signals,POINT (-79.3846114 43.6935684)
20954272,43.6942379,-79.3814476,3,,stop,POINT (-79.3814476 43.6942379)
20954274,43.695049,-79.3800772,3,,,POINT (-79.3800772 43.695049)
20954278,43.6967635,-79.3718082,4,,traffic_signals,POINT (-79.3718082 43.6967635)
20954281,43.6880059,-79.3763093,3,,stop,POINT (-79.3763093 43.6880059)
20954282,43.6882391,-79.3751624,3,,,POINT (-79.3751624 43.6882391)
20954283,43.6889721,-79.3741165,3,,,POINT (-79.3741165 43.6889721)
20954289,43.690215,-79.3746012,4,,stop,POINT (-79.3746012 43.690215)
20954290,43.6910364,-79.3749416,3,,,POINT (-79.3749416 43.6910364)
20954291,43.6917565,-79.3752511,3,,,POINT (-79.3752511 43.6917565)
20954292,43.691255,-79.3739411,1,,,POINT (-79.3739411 43.691255)
20954293,43.6918742,-79.3746948,1,,,POINT (-79.3746948 43.6918742)
20954295,43.6899564,-79.3758047,4,,stop,POINT (-79.3758047 43.6899564)
20954298,43.6918048,-79.3765729,4,,stop,POINT (-79.3765729 43.6918048)
20954303,43.6924586,-79.3781288,3,,,POINT (-79.3781288 43.6924586)
20954306,43.6931606,-79.3797286,4,,,POINT (-79.3797286 43.6931606)
20954309,43.6942318,-79.3810692,1,,,POINT (-79.3810692 43.6942318)
20954310,43.688997,-79.3723062,3,,,POINT (-79.3723062 43.688997)
20954338,43.687946,-79.3636454,3,,traffic_signals,POINT (-79.3636454 43.687946)
20954342,43.6875156,-79.3633608,3,,,POINT (-79.3633608 43.6875156)
20954348,43.6808782,-79.3682637,3,,,POINT (-79.3682637 43.6808782)
20954353,43.6779443,-79.367278,3,,,POINT (-79.367278 43.6779443)
20954356,43.6771143,-79.3661959,3,,,POINT (-79.3661959 43.6771143)
20954358,43.6881654,-79.39413,4,,traffic_signals,POINT (-79.39413 43.6881654)
20954359,43.6884668,-79.3922885,3,,,POINT (-79.3922885 43.6884668)
20964427,43.6702476,-79.3616919,3,,,POINT (-79.3616919 43.6702476)
20964438,43.6726783,-79.3704162,3,,,POINT (-79.3704162 43.6726783)
20964445,43.6731914,-79.3798981,3,,,POINT (-79.3798981 43.6731914)
20964448,43.6735257,-79.3840193,4,,traffic_signals,POINT (-79.3840193 43.6735257)
20964449,43.673624,-79.3853788,4,,,POINT (-79.3853788 43.673624)
20964461,43.6755965,-79.388954,4,,traffic_signals,POINT (-79.388954 43.6755965)
20964462,43.6702613,-79.3867828,8,,traffic_signals,POINT (-79.3867828 43.6702613)
20964463,43.6759331,-79.3603549,3,,,POINT (-79.3603549 43.6759331)
20964485,43.6805938,-79.36519,3,,,POINT (-79.36519 43.6805938)
20964486,43.6808661,-79.3647285,3,,,POINT (-79.3647285 43.6808661)
20964490,43.6821878,-79.3638748,3,,motorway_junction,POINT (-79.3638748 43.6821878)
20964535,43.6760099,-79.3599308,3,,,POINT (-79.3599308 43.6760099)
20964557,43.688816,-79.3624976,3,,,POINT (-79.3624976 43.688816)
20964559,43.6878557,-79.3617398,3,,,POINT (-79.3617398 43.6878557)
20964567,43.6762168,-79.3588468,4,,traffic_signals,POINT (-79.3588468 43.6762168)
20964571,43.6583512,-79.4427281,4,,traffic_signals,POINT (-79.4427281 43.6583512)
20964572,43.6598693,-79.4353298,4,,traffic_signals,POINT (-79.4353298 43.6598693)
20964573,43.6605066,-79.4324044,3,,traffic_signals,POINT (-79.4324044 43.6605066)
20964574,43.6611664,-79.4293963,4,,traffic_signals,POINT (-79.4293963 43.6611664)
20964575,43.6625113,-79.4232488,4,,traffic_signals,POINT (-79.4232488 43.6625113)
20964576,43.6634668,-79.4188386,4,,traffic_signals,POINT (-79.4188386 43.6634668)
20964579,43.667513,-79.399806,4,,traffic_signals,POINT (-79.399806 43.667513)
20964581,43.6697241,-79.3894689,4,,traffic_signals,POINT (-79.3894689 43.6697241)
20964582,43.6710348,-79.3831355,4,,traffic_signals,POINT (-79.3831355 43.6710348)
20964583,43.6718566,-79.3792267,4,,crossing,POINT (-79.3792267 43.6718566)
20979738,43.6659368,-79.3918763,4,,traffic_signals,POINT (-79.3918763 43.6659368)
20979740,43.6660672,-79.392493,3,,,POINT (-79.392493 43.6660672)
20979742,43.6663676,-79.3931594,3,,,POINT (-79.3931594 43.6663676)
20979743,43.6658771,-79.3933295,3,,,POINT (-79.3933295 43.6658771)
20979746,43.6651098,-79.3939147,4,,crossing,POINT (-79.3939147 43.6651098)
20979752,43.6606757,-79.3912347,3,,,POINT (-79.3912347 43.6606757)
20979753,43.6608186,-79.3904803,3,,,POINT (-79.3904803 43.6608186)
20979755,43.6617827,-79.3898782,4,,,POINT (-79.3898782 43.6617827)
20979758,43.6672491,-79.3935234,3,,,POINT (-79.3935234 43.6672491)
20979760,43.6575299,-79.3895942,3,,traffic_signals,POINT (-79.3895942 43.6575299)
20979761,43.657579,-79.3893605,4,,traffic_signals,POINT (-79.3893605 43.657579)
20979762,43.6603454,-79.3905512,3,,,POINT (-79.3905512 43.6603454)
20979763,43.6687016,-79.3941295,4,,traffic_signals,POINT (-79.3941295 43.6687016)
20979764,43.6747075,-79.3965765,4,,traffic_signals,POINT (-79.3965765 43.6747075)
20979765,43.6703741,-79.394793,4,,traffic_signals,POINT (-79.394793 43.6703741)
20979766,43.6699282,-79.3946144,3,,,POINT (-79.3946144 43.6699282)
21090712,43.6515641,-79.3627129,4,,traffic_signals,POINT (-79.3627129 43.6515641)
21090713,43.6518485,-79.3615002,3,,,POINT (-79.3615002 43.6518485)
21090714,43.6502,-79.3621347,3,,traffic_signals,POINT (-79.3621347 43.6502)
21090716,43.6478836,-79.3611793,4,,traffic_signals,POINT (-79.3611793 43.6478836)
21090723,43.6524583,-79.3606856,4,,traffic_signals,POINT (-79.3606856 43.6524583)
21090730,43.6560641,-79.3540121,3,,,POINT (-79.3540121 43.6560641)
21090735,43.6569128,-79.3512474,3,,,POINT (-79.3512474 43.6569128)
21090739,43.6566039,-79.3488834,4,,traffic_signals,POINT (-79.3488834 43.6566039)
21090743,43.6565042,-79.3475379,4,,,POINT (-79.3475379 43.6565042)
21090745,43.657431,-79.3433467,3,,,POINT (-79.3433467 43.657431)
21090746,43.6576254,-79.3424728,4,,,POINT (-79.3424728 43.6576254)
21090747,43.6581245,-79.340169,4,,,POINT (-79.340169 43.6581245)
21090749,43.6562203,-79.348717,3,,,POINT (-79.348717 43.6562203)
21090752,43.6556855,-79.3510063,1,,,POINT (-79.3510063 43.6556855)
21090765,43.6560978,-79.354261,3,,,POINT (-79.354261 43.6560978)
21090768,43.6557141,-79.3550785,3,,,POINT (-79.3550785 43.6557141)
21090770,43.6538259,-79.3586135,4,,traffic_signals,POINT (-79.3586135 43.6538259)
21090783,43.6521385,-79.3643918,4,,traffic_signals,POINT (-79.3643918 43.6521385)
21090784,43.6527358,-79.3632207,4,,traffic_signals,POINT (-79.3632207 43.6527358)
21090785,43.6532408,-79.3623554,3,,,POINT (-79.3623554 43.6532408)
21090793,43.6577175,-79.354997,3,,,POINT (-79.354997 43.6577175)
21090802,43.6333873,-79.4347356,3,,,POINT (-79.4347356 43.6333873)
21090804,43.6330253,-79.432431,3,,,POINT (-79.432431 43.6330253)
21090806,43.6328783,-79.4309645,3,,,POINT (-79.4309645 43.6328783)
21090813,43.6310531,-79.428482,3,,,POINT (-79.428482 43.6310531)
21090825,43.6325081,-79.4110152,4,,,POINT (-79.4110152 43.6325081)
21090829,43.6345794,-79.4088216,5,,,POINT (-79.4088216 43.6345794)
21090832,43.635155,-79.4078985,3,,,POINT (-79.4078985 43.635155)
21090834,43.6355425,-79.4067885,4,,,POINT (-79.4067885 43.6355425)
21090838,43.6364536,-79.3997044,4,,,POINT (-79.3997044 43.6364536)
21090839,43.6368269,-79.3986299,3,,,POINT (-79.3986299 43.6368269)
21098718,43.6353655,-79.441004,3,,,POINT (-79.441004 43.6353655)
21098727,43.6318802,-79.4329893,3,,,POINT (-79.4329893 43.6318802)
21098743,43.6323863,-79.4109366,5,,,POINT (-79.4109366 43.6323863)
21098747,43.6344769,-79.4086747,4,,,POINT (-79.4086747 43.6344769)
21098752,43.6354135,-79.4066844,4,,,POINT (-79.4066844 43.6354135)
21098759,43.6365162,-79.3995212,4,,,POINT (-79.3995212 43.6365162)
21098764,43.6357609,-79.3985207,4,,crossing,POINT (-79.3985207 43.6357609)
21099015,43.6409862,-79.3806772,4,,traffic_signals,POINT (-79.3806772 43.6409862)
21099019,43.6425768,-79.3760645,3,,,POINT (-79.3760645 43.6425768)
21099022,43.6435905,-79.3753852,4,,crossing,POINT (-79.3753852 43.6435905)
21099026,43.6445098,-79.3742599,3,,,POINT (-79.3742599 43.6445098)
21099028,43.6455265,-79.3698057,5,,traffic_signals,POINT (-79.3698057 43.6455265)
21099033,43.6476918,-79.3612086,4,,traffic_signals,POINT (-79.3612086 43.6476918)
21099038,43.6489815,-79.3561033,3,,,POINT (-79.3561033 43.6489815)
21099040,43.6484709,-79.3554003,3,,,POINT (-79.3554003 43.6484709)
21099041,43.6482029,-79.3547461,4,,,POINT (-79.3547461 43.6482029)
21099043,43.6482207,-79.3540508,4,,,POINT (-79.3540508 43.6482207)
21099058,43.6483594,-79.354732,4,,crossing,POINT (-79.354732 43.6483594)
21099059,43.648454,-79.3550242,3,,,POINT (-79.3550242 43.648454)
21099062,43.649225,-79.35609,3,,,POINT (-79.35609 43.649225)
21099063,43.6492958,-79.3565073,4,,,POINT (-79.3565073 43.6492958)
21099074,43.6458843,-79.3699474,5,,traffic_signals,POINT (-79.3699474 43.6458843)
21099075,43.6373149,-79.3971342,4,,,POINT (-79.3971342 43.6373149)
21099077,43.6383695,-79.392686,3,,,POINT (-79.392686 43.6383695)
21099079,43.6395526,-79.38685,4,,traffic_signals,POINT (-79.38685 43.6395526)
21099085,43.6551396,-79.3375703,4,,traffic_signals,POINT (-79.3375703 43.6551396)
21099086,43.6549872,-79.3374395,4,,traffic_signals,POINT (-79.3374395 43.6549872)
21099088,43.652606,-79.3355001,3,,traffic_signals,POINT (-79.3355001 43.652606)
21099089,43.6516372,-79.3377048,3,,,POINT (-79.3377048 43.6516372)
21099092,43.6676389,-79.3427446,4,,traffic_signals,POINT (-79.3427446 43.6676389)
21099093,43.6648308,-79.3416088,4,,traffic_signals,POINT (-79.3416088 43.6648308)
21099094,43.6610647,-79.3400854,4,,traffic_signals,POINT (-79.3400854 43.6610647)
21099095,43.6583953,-79.3389684,4,,traffic_signals,POINT (-79.3389684 43.6583953)
21099102,43.6590228,-79.3281909,4,,traffic_signals,POINT (-79.3281909 43.6590228)
21099103,43.659233,-79.3283246,4,,traffic_signals,POINT (-79.3283246 43.659233)
21099105,43.6565444,-79.3263327,4,,traffic_signals,POINT (-79.3263327 43.6565444)
21099107,43.6523582,-79.3229406,4,,traffic_signals,POINT (-79.3229406 43.6523582)
21099114,43.6481878,-79.3284697,3,,,POINT (-79.3284697 43.6481878)
21099146,43.6467166,-79.3238445,4,,,POINT (-79.3238445 43.6467166)
21291878,43.6521077,-79.3603347,4,,stop,POINT (-79.3603347 43.6521077)
21291887,43.6712534,-79.3417151,4,,stop,POINT (-79.3417151 43.6712534)
21291894,43.6743764,-79.3430005,4,,,POINT (-79.3430005 43.6743764)
21291896,43.6789376,-79.3448791,4,,traffic_signals,POINT (-79.3448791 43.6789376)
21291897,43.6782343,-79.3484708,3,,,POINT (-79.3484708 43.6782343)
21291898,43.6773846,-79.3528006,3,,,POINT (-79.3528006 43.6773846)
21292188,43.6758108,-79.4025483,4,,traffic_signals,POINT (-79.4025483 43.6758108)
21292198,43.6731375,-79.4143525,4,,traffic_signals,POINT (-79.4143525 43.6731375)
21292205,43.6665767,-79.419611,4,,traffic_signals,POINT (-79.419611 43.6665767)
21292208,43.671625,-79.4215307,4,,traffic_signals,POINT (-79.4215307 43.671625)
21292212,43.6755762,-79.4230624,4,,traffic_signals,POINT (-79.4230624 43.6755762)
21292216,43.6768861,-79.4235698,3,,,POINT (-79.4235698 43.6768861)
21292226,43.681772,-79.4257492,3,,traffic_signals,POINT (-79.4257492 43.681772)
21292227,43.6780214,-79.4430846,4,,traffic_signals,POINT (-79.4430846 43.6780214)
21292230,43.6811188,-79.4288903,4,,traffic_signals,POINT (-79.4288903 43.6811188)
21292292,43.6979694,-79.4243294,3,,,POINT (-79.4243294 43.6979694)
21292294,43.6863492,-79.4196049,3,,,POINT (-79.4196049 43.6863492)
21292295,43.6810272,-79.417464,3,,,POINT (-79.417464 43.6810272)
21292296,43.6766995,-79.4157589,4,,traffic_signals,POINT (-79.4157589 43.6766995)
21306147,43.6980999,-79.3405621,3,7A,motorway_junction,POINT (-79.3405621 43.6980999)
21436428,43.6377879,-79.4439957,3,,,POINT (-79.4439957 43.6377879)
21436430,43.6370383,-79.4422769,4,,crossing,POINT (-79.4422769 43.6370383)
21436431,43.6391773,-79.4438141,4,,,POINT (-79.4438141 43.6391773)
21436432,43.6394309,-79.4424769,3,,,POINT (-79.4424769 43.6394309)
21436433,43.6399526,-79.4398542,3,,,POINT (-79.4398542 43.6399526)
21436465,43.6366221,-79.4415638,3,,,POINT (-79.4415638 43.6366221)
21436469,43.6366643,-79.4385714,4,,traffic_signals,POINT (-79.4385714 43.6366643)
21436475,43.6389421,-79.4273517,4,,traffic_signals,POINT (-79.4273517 43.6389421)
21436476,43.6394586,-79.4248166,3,,,POINT (-79.4248166 43.6394586)
21436477,43.6399702,-79.4222676,4,,,POINT (-79.4222676 43.6399702)
21436478,43.6401734,-79.4212564,4,,traffic_signals,POINT (-79.4212564 43.6401734)
21436480,43.6409697,-79.4173315,4,,traffic_signals,POINT (-79.4173315 43.6409697)
21436481,43.6414332,-79.4150052,4,,traffic_signals,POINT (-79.4150052 43.6414332)
21436482,43.6420491,-79.4119592,4,,traffic_signals,POINT (-79.4119592 43.6420491)
21436484,43.643121,-79.4066487,3,,,POINT (-79.4066487 43.643121)
21436485,43.6436892,-79.4038318,3,,,POINT (-79.4038318 43.6436892)
21436488,43.6454481,-79.3951344,4,,,POINT (-79.3951344 43.6454481)
21436489,43.6454905,-79.3948932,4,,,POINT (-79.3948932 43.6454905)
21436490,43.6460443,-79.3923042,4,,traffic_signals,POINT (-79.3923042 43.6460443)
21436491,43.6509768,-79.4400175,4,,traffic_signals,POINT (-79.4400175 43.6509768)
21436501,43.6536104,-79.4263871,4,,traffic_signals,POINT (-79.4263871 43.6536104)
21436503,43.6549004,-79.4202531,4,,traffic_signals,POINT (-79.4202531 43.6549004)
21436504,43.6551547,-79.4190094,4,,traffic_signals,POINT (-79.4190094 43.6551547)
21436505,43.6552341,-79.4178727,3,,,POINT (-79.4178727 43.6552341)
21436506,43.6551738,-79.417154,3,,,POINT (-79.417154 43.6551738)
21436508,43.6549448,-79.4155916,4,,traffic_signals,POINT (-79.4155916 43.6549448)
21436509,43.6554635,-79.412614,4,,,POINT (-79.412614 43.6554635)
21436517,43.6598263,-79.3905908,4,,traffic_signals,POINT (-79.3905908 43.6598263)
21436518,43.6598788,-79.3903446,4,,traffic_signals,POINT (-79.3903446 43.6598788)
21631714,43.6651337,-79.4112064,4,,traffic_signals,POINT (-79.4112064 43.6651337)
21631715,43.6615281,-79.4097527,4,,traffic_signals,POINT (-79.4097527 43.6615281)
21631716,43.6407423,-79.4014083,3,,traffic_signals,POINT (-79.4014083 43.6407423)
21631720,43.64392,-79.4026843,4,,traffic_signals,POINT (-79.4026843 43.64392)
21631722,43.6598205,-79.4090594,4,,traffic_signals,POINT (-79.4090594 43.6598205)
21631723,43.652304,-79.406012,4,,,POINT (-79.406012 43.652304)
21631725,43.6472051,-79.4039923,4,,traffic_signals,POINT (-79.4039923 43.6472051)
21631726,43.634446,-79.3972479,3,,,POINT (-79.3972479 43.634446)
21631730,43.6338727,-79.3977243,1,,,POINT (-79.3977243 43.6338727)
21631731,43.6640762,-79.3984403,4,,traffic_signals,POINT (-79.3984403 43.6640762)
21631733,43.6630941,-79.4019954,4,,traffic_signals,POINT (-79.4019954 43.6630941)
21631734,43.6622708,-79.4060119,4,,traffic_signals,POINT (-79.4060119 43.6622708)
21631735,43.6606496,-79.4140077,3,,,POINT (-79.4140077 43.6606496)
21631736,43.6599391,-79.4174826,4,,traffic_signals,POINT (-79.4174826 43.6599391)
21631737,43.6595335,-79.4195477,4,,traffic_signals,POINT (-79.4195477 43.6595335)
21631739,43.6679594,-79.4281429,4,,traffic_signals,POINT (-79.4281429 43.6679594)
21631740,43.6674637,-79.4305105,4,,stop,POINT (-79.4305105 43.6674637)
21631742,43.6669339,-79.4328964,4,,stop,POINT (-79.4328964 43.6669339)
21631743,43.6666614,-79.4341363,4,,stop,POINT (-79.4341363 43.6666614)
21631744,43.6663933,-79.4353709,4,,stop,POINT (-79.4353709 43.6663933)
21631745,43.6661153,-79.4366614,4,,stop,POINT (-79.4366614 43.6661153)
21631746,43.6658447,-79.4378953,3,,traffic_signals,POINT (-79.4378953 43.6658447)
21631747,43.6619894,-79.4256302,4,,traffic_signals,POINT (-79.4256302 43.6619894)
23828406,43.6629764,-79.4366594,3,,traffic_signals,POINT (-79.4366594 43.6629764)
23828433,43.6664278,-79.4381423,3,,,POINT (-79.4381423 43.6664278)
23828442,43.6571284,-79.4342852,5,,traffic_signals,POINT (-79.4342852 43.6571284)
23828467,43.6437934,-79.4292064,3,,,POINT (-79.4292064 43.6437934)
23828480,43.6440737,-79.427746,3,,,POINT (-79.427746 43.6440737)
23828486,43.6425233,-79.4271117,4,,traffic_signals,POINT (-79.4271117 43.6425233)
23828492,43.6422201,-79.4286129,4,,traffic_signals,POINT (-79.4286129 43.6422201)
23828498,43.6370732,-79.4266367,4,,traffic_signals,POINT (-79.4266367 43.6370732)
23828504,43.6348829,-79.425801,3,,,POINT (-79.425801 43.6348829)
23845318,43.6344964,-79.4256528,3,,,POINT (-79.4256528 43.6344964)
23845394,43.6333134,-79.425184,3,,,POINT (-79.425184 43.6333134)
23845419,43.6326172,-79.4248748,3,,traffic_signals,POINT (-79.4248748 43.6326172)
23845494,43.6314739,-79.4292373,4,,traffic_signals,POINT (-79.4292373 43.6314739)
